FGA Vietnamese AfricanAmerican Caucasian Hispanic Navajo
17 0.943 0.250 0.000 0.000 0.000
18 1.887 0.500 1.333 0.952 1.374
18.2 0.000 1.500 0.000 0.000 0.000
19 8.962 6.750 4.333 8.333 18.681
19.2 0.000 0.750 0.000 0.000 0.000
20 5.896 4.500 13.667 12.619 9.066
20.2 0.236 0.250 0.000 0.000 0.000
21 15.802 9.500 17.000 14.524 12.637
21.2 1.415 0.000 0.000 0.238 0.000
22 19.340 17.500 19.000 14.762 8.516
22.2 0.943 0.250 1.000 0.476 0.000
23 12.972 19.750 14.667 14.048 5.220
23.2 1.887 0.000 0.333 0.476 0.000
24 15.094 16.250 15.667 14.762 11.264
24.2 1.651 0.000 0.000 0.000 0.000
25 6.604 11.250 11.000 10.714 16.758
25.2 0.943 0.000 0.000 0.000 0.000
26 3.538 4.250 2.000 4.762 11.264
26.2 0.472 0.000 0.000 0.000 0.000
27 1.415 3.500 0.000 2.619 4.670
28 0.000 1.750 0.000 0.476 0.549
30 0.000 0.000 0.000 0.238 0.000
31 0.000 1.500 0.000 0.000 0.000
