D21S11 Vietnamese AfricanAmerican Caucasian Hispanic Navajo
24 0.000 0.000 0.333 0.000 0.000
26 0.000 0.250 0.333 0.238 0.000
26.2 0.000 0.250 0.000 0.000 0.000
27 0.465 3.750 4.000 1.667 0.000
28 5.116 28.750 17.667 12.381 5.405
28.2 0.000 0.000 0.000 0.000 0.000
29 23.721 20.000 18.667 23.333 17.838
29.2 0.000 0.250 0.000 0.238 0.000
30 26.977 14.750 27.333 24.762 50.811
30.2 1.395 2.250 2.333 3.333 0.000
31 8.837 7.000 8.000 7.619 4.865
31.2 8.140 3.750 9.333 9.524 6.216
32 2.791 1.000 1.667 0.952 0.000
32.2 15.814 8.000 7.000 10.952 11.892
33 0.930 0.250 0.000 0.000 0.000
33.1 0.000 0.500 0.000 0.000 0.000
33.2 5.349 3.500 3.000 3.571 2.703
34 0.000 1.000 0.000 0.000 0.000
34.1 0.000 0.250 0.000 0.000 0.000
34.2 0.465 0.250 0.333 0.952 0.270
35 0.000 3.500 0.000 0.000 0.000
36 0.000 0.750 0.000 0.238 0.000
37 0.000 0.000 0.000 0.238 0.000
